T05,Proportion of seats held by women in national parliament,,,,,,,
Region/Country/Area,,Year,Series,Last Election Date,Last Election Date footnote,Value,Footnotes,Source
13,Central America,2000,"Seats held by women in national parliament, as of February (%)",,,14.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
13,Central America,2005,"Seats held by women in national parliament, as of February (%)",,,17.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
13,Central America,2010,"Seats held by women in national parliament, as of February (%)",,,21.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
13,Central America,2015,"Seats held by women in national parliament, as of February (%)",,,30.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
13,Central America,2020,"Seats held by women in national parliament, as of February (%)",,,36.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
13,Central America,2021,"Seats held by women in national parliament, as of February (%)",,,37.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
13,Central America,2022,"Seats held by women in national parliament, as of February (%)",,,38.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
13,Central America,2023,"Seats held by women in national parliament, as of February (%)",,,38.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
13,Central America,2024,"Seats held by women in national parliament, as of February (%)",,,39.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
5,South America,2000,"Seats held by women in national parliament, as of February (%)",,,12.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
5,South America,2005,"Seats held by women in national parliament, as of February (%)",,,15.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
5,South America,2010,"Seats held by women in national parliament, as of February (%)",,,19.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
5,South America,2015,"Seats held by women in national parliament, as of February (%)",,,22.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
5,South America,2020,"Seats held by women in national parliament, as of February (%)",,,26.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
5,South America,2021,"Seats held by women in national parliament, as of February (%)",,,26.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
5,South America,2022,"Seats held by women in national parliament, as of February (%)",,,29.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
5,South America,2023,"Seats held by women in national parliament, as of February (%)",,,31.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
5,South America,2024,"Seats held by women in national parliament, as of February (%)",,,31.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
142,Asia,2000,"Seats held by women in national parliament, as of February (%)",,,12.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
142,Asia,2005,"Seats held by women in national parliament, as of February (%)",,,13.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
142,Asia,2010,"Seats held by women in national parliament, as of February (%)",,,16.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
142,Asia,2015,"Seats held by women in national parliament, as of February (%)",,,17.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
