T05,Proportion of seats held by women in national parliament,,,,,,,
Region/Country/Area,,Year,Series,Last Election Date,Last Election Date footnote,Value,Footnotes,Source
368,Iraq,2024,"Seats held by women in national parliament, as of February (%)",2021-10,,29.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
372,Ireland,2000,"Seats held by women in national parliament, as of February (%)",2020-02,,12.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
372,Ireland,2005,"Seats held by women in national parliament, as of February (%)",2020-02,,13.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
372,Ireland,2010,"Seats held by women in national parliament, as of February (%)",2020-02,,13.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
372,Ireland,2015,"Seats held by women in national parliament, as of February (%)",2020-02,,16.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
372,Ireland,2020,"Seats held by women in national parliament, as of February (%)",2020-02,,20.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
372,Ireland,2021,"Seats held by women in national parliament, as of February (%)",2020-02,,22.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
372,Ireland,2022,"Seats held by women in national parliament, as of February (%)",2020-02,,23.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
372,Ireland,2023,"Seats held by women in national parliament, as of February (%)",2020-02,,23.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
372,Ireland,2024,"Seats held by women in national parliament, as of February (%)",2020-02,,23.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
376,Israel,2000,"Seats held by women in national parliament, as of February (%)",2022-11,,11.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
376,Israel,2005,"Seats held by women in national parliament, as of February (%)",2022-11,,15.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
376,Israel,2010,"Seats held by women in national parliament, as of February (%)",2022-11,,19.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
376,Israel,2015,"Seats held by women in national parliament, as of February (%)",2022-11,,22.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
376,Israel,2020,"Seats held by women in national parliament, as of February (%)",2022-11,,23.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
376,Israel,2021,"Seats held by women in national parliament, as of February (%)",2022-11,,26.7,"Data are as at 1 January of reporting year.;Parliament was dissolved in December 2020, and new elections had not taken place at time of reporting, thus data corresponds to the outgoing legislature.","Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
376,Israel,2022,"Seats held by women in national parliament, as of February (%)",2022-11,,30.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
376,Israel,2023,"Seats held by women in national parliament, as of February (%)",2022-11,,24.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
376,Israel,2024,"Seats held by women in national parliament, as of February (%)",2022-11,,25.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
380,Italy,2000,"Seats held by women in national parliament, as of February (%)",2022-09,,11.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
380,Italy,2005,"Seats held by women in national parliament, as of February (%)",2022-09,,11.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
380,Italy,2010,"Seats held by women in national parliament, as of February (%)",2022-09,,21.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
380,Italy,2015,"Seats held by women in national parliament, as of February (%)",2022-09,,31.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
380,Italy,2020,"Seats held by women in national parliament, as of February (%)",2022-09,,35.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
380,Italy,2021,"Seats held by women in national parliament, as of February (%)",2022-09,,35.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
380,Italy,2022,"Seats held by women in national parliament, as of February (%)",2022-09,,36.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
380,Italy,2023,"Seats held by women in national parliament, as of February (%)",2022-09,,32.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
380,Italy,2024,"Seats held by women in national parliament, as of February (%)",2022-09,,32.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
388,Jamaica,2000,"Seats held by women in national parliament, as of February (%)",2020-09,,13.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
388,Jamaica,2005,"Seats held by women in national parliament, as of February (%)",2020-09,,11.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
388,Jamaica,2010,"Seats held by women in national parliament, as of February (%)",2020-09,,13.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
388,Jamaica,2015,"Seats held by women in national parliament, as of February (%)",2020-09,,12.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
388,Jamaica,2020,"Seats held by women in national parliament, as of February (%)",2020-09,,17.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
388,Jamaica,2021,"Seats held by women in national parliament, as of February (%)",2020-09,,28.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
388,Jamaica,2022,"Seats held by women in national parliament, as of February (%)",2020-09,,28.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
388,Jamaica,2023,"Seats held by women in national parliament, as of February (%)",2020-09,,28.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
388,Jamaica,2024,"Seats held by women in national parliament, as of February (%)",2020-09,,27.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
392,Japan,2000,"Seats held by women in national parliament, as of February (%)",2021-10,,4.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
392,Japan,2005,"Seats held by women in national parliament, as of February (%)",2021-10,,7.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
392,Japan,2010,"Seats held by women in national parliament, as of February (%)",2021-10,,11.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
392,Japan,2015,"Seats held by women in national parliament, as of February (%)",2021-10,,9.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
392,Japan,2020,"Seats held by women in national parliament, as of February (%)",2021-10,,9.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
392,Japan,2021,"Seats held by women in national parliament, as of February (%)",2021-10,,9.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
392,Japan,2022,"Seats held by women in national parliament, as of February (%)",2021-10,,9.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
392,Japan,2023,"Seats held by women in national parliament, as of February (%)",2021-10,,10.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
392,Japan,2024,"Seats held by women in national parliament, as of February (%)",2021-10,,10.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
400,Jordan,2000,"Seats held by women in national parliament, as of February (%)",2020-11,,0.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
400,Jordan,2005,"Seats held by women in national parliament, as of February (%)",2020-11,,5.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
400,Jordan,2010,"Seats held by women in national parliament, as of February (%)",2020-11,,6.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
400,Jordan,2015,"Seats held by women in national parliament, as of February (%)",2020-11,,12.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
400,Jordan,2020,"Seats held by women in national parliament, as of February (%)",2020-11,,15.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
400,Jordan,2021,"Seats held by women in national parliament, as of February (%)",2020-11,,11.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
400,Jordan,2022,"Seats held by women in national parliament, as of February (%)",2020-11,,12.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
400,Jordan,2023,"Seats held by women in national parliament, as of February (%)",2020-11,,12.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
400,Jordan,2024,"Seats held by women in national parliament, as of February (%)",2020-11,,13.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
398,Kazakhstan,2000,"Seats held by women in national parliament, as of February (%)",2023-03,,10.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
398,Kazakhstan,2005,"Seats held by women in national parliament, as of February (%)",2023-03,,10.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
398,Kazakhstan,2010,"Seats held by women in national parliament, as of February (%)",2023-03,,17.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
398,Kazakhstan,2015,"Seats held by women in national parliament, as of February (%)",2023-03,,26.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
398,Kazakhstan,2020,"Seats held by women in national parliament, as of February (%)",2023-03,,27.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
398,Kazakhstan,2021,"Seats held by women in national parliament, as of February (%)",2023-03,,27.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
398,Kazakhstan,2022,"Seats held by women in national parliament, as of February (%)",2023-03,,27.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
398,Kazakhstan,2023,"Seats held by women in national parliament, as of February (%)",2023-03,,27.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
398,Kazakhstan,2024,"Seats held by women in national parliament, as of February (%)",2023-03,,19.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
404,Kenya,2000,"Seats held by women in national parliament, as of February (%)",2022-08,,3.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
404,Kenya,2005,"Seats held by women in national parliament, as of February (%)",2022-08,,7.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
404,Kenya,2010,"Seats held by women in national parliament, as of February (%)",2022-08,,9.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
404,Kenya,2015,"Seats held by women in national parliament, as of February (%)",2022-08,,19.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
404,Kenya,2020,"Seats held by women in national parliament, as of February (%)",2022-08,,21.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
404,Kenya,2021,"Seats held by women in national parliament, as of February (%)",2022-08,,21.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
404,Kenya,2022,"Seats held by women in national parliament, as of February (%)",2022-08,,21.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
404,Kenya,2023,"Seats held by women in national parliament, as of February (%)",2022-08,,23.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
404,Kenya,2024,"Seats held by women in national parliament, as of February (%)",2022-08,,23.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
296,Kiribati,2000,"Seats held by women in national parliament, as of February (%)",2020-04,,4.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
296,Kiribati,2005,"Seats held by women in national parliament, as of February (%)",2020-04,,4.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
296,Kiribati,2010,"Seats held by women in national parliament, as of February (%)",2020-04,,4.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
296,Kiribati,2015,"Seats held by women in national parliament, as of February (%)",2020-04,,8.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
296,Kiribati,2020,"Seats held by women in national parliament, as of February (%)",2020-04,,6.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
296,Kiribati,2021,"Seats held by women in national parliament, as of February (%)",2020-04,,6.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
296,Kiribati,2022,"Seats held by women in national parliament, as of February (%)",2020-04,,6.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
296,Kiribati,2023,"Seats held by women in national parliament, as of February (%)",2020-04,,6.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
296,Kiribati,2024,"Seats held by women in national parliament, as of February (%)",2020-04,,6.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
414,Kuwait,2000,"Seats held by women in national parliament, as of February (%)",2023-06,,0.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
414,Kuwait,2005,"Seats held by women in national parliament, as of February (%)",2023-06,,0.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
414,Kuwait,2010,"Seats held by women in national parliament, as of February (%)",2023-06,,7.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
414,Kuwait,2015,"Seats held by women in national parliament, as of February (%)",2023-06,,1.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
414,Kuwait,2020,"Seats held by women in national parliament, as of February (%)",2023-06,,6.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
414,Kuwait,2021,"Seats held by women in national parliament, as of February (%)",2023-06,,1.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
414,Kuwait,2022,"Seats held by women in national parliament, as of February (%)",2023-06,,1.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
414,Kuwait,2023,"Seats held by women in national parliament, as of February (%)",2023-06,,6.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
414,Kuwait,2024,"Seats held by women in national parliament, as of February (%)",2023-06,,3.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
417,Kyrgyzstan,2000,"Seats held by women in national parliament, as of February (%)",2021-11,,1.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
417,Kyrgyzstan,2005,"Seats held by women in national parliament, as of February (%)",2021-11,,10.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
417,Kyrgyzstan,2010,"Seats held by women in national parliament, as of February (%)",2021-11,,25.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
417,Kyrgyzstan,2015,"Seats held by women in national parliament, as of February (%)",2021-11,,23.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
417,Kyrgyzstan,2020,"Seats held by women in national parliament, as of February (%)",2021-11,,19.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
417,Kyrgyzstan,2021,"Seats held by women in national parliament, as of February (%)",2021-11,,17.1,"Data are as at 1 January of reporting year.;Elections held in October 2020 were invalidated, thus figures correspond to the outgoing legislature, pending new elections due to take place in 2021.","Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
417,Kyrgyzstan,2022,"Seats held by women in national parliament, as of February (%)",2021-11,,20.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
417,Kyrgyzstan,2023,"Seats held by women in national parliament, as of February (%)",2021-11,,20.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
417,Kyrgyzstan,2024,"Seats held by women in national parliament, as of February (%)",2021-11,,21.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
418,Lao People's Dem. Rep.,2000,"Seats held by women in national parliament, as of February (%)",2021-02,,21.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
418,Lao People's Dem. Rep.,2005,"Seats held by women in national parliament, as of February (%)",2021-02,,22.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
418,Lao People's Dem. Rep.,2010,"Seats held by women in national parliament, as of February (%)",2021-02,,25.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
418,Lao People's Dem. Rep.,2015,"Seats held by women in national parliament, as of February (%)",2021-02,,25.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
418,Lao People's Dem. Rep.,2020,"Seats held by women in national parliament, as of February (%)",2021-02,,27.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
418,Lao People's Dem. Rep.,2021,"Seats held by women in national parliament, as of February (%)",2021-02,,27.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
418,Lao People's Dem. Rep.,2022,"Seats held by women in national parliament, as of February (%)",2021-02,,22.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
418,Lao People's Dem. Rep.,2023,"Seats held by women in national parliament, as of February (%)",2021-02,,22.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
418,Lao People's Dem. Rep.,2024,"Seats held by women in national parliament, as of February (%)",2021-02,,22.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
428,Latvia,2000,"Seats held by women in national parliament, as of February (%)",2022-10,,17.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
428,Latvia,2005,"Seats held by women in national parliament, as of February (%)",2022-10,,21.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
428,Latvia,2010,"Seats held by women in national parliament, as of February (%)",2022-10,,22.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
428,Latvia,2015,"Seats held by women in national parliament, as of February (%)",2022-10,,18.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
428,Latvia,2020,"Seats held by women in national parliament, as of February (%)",2022-10,,30.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
428,Latvia,2021,"Seats held by women in national parliament, as of February (%)",2022-10,,29.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
428,Latvia,2022,"Seats held by women in national parliament, as of February (%)",2022-10,,27.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
428,Latvia,2023,"Seats held by women in national parliament, as of February (%)",2022-10,,29.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
428,Latvia,2024,"Seats held by women in national parliament, as of February (%)",2022-10,,32.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
422,Lebanon,2000,"Seats held by women in national parliament, as of February (%)",2022-05,,2.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
422,Lebanon,2005,"Seats held by women in national parliament, as of February (%)",2022-05,,2.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
422,Lebanon,2010,"Seats held by women in national parliament, as of February (%)",2022-05,,3.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
422,Lebanon,2015,"Seats held by women in national parliament, as of February (%)",2022-05,,3.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
422,Lebanon,2020,"Seats held by women in national parliament, as of February (%)",2022-05,,4.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
422,Lebanon,2021,"Seats held by women in national parliament, as of February (%)",2022-05,,4.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
422,Lebanon,2022,"Seats held by women in national parliament, as of February (%)",2022-05,,4.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
422,Lebanon,2023,"Seats held by women in national parliament, as of February (%)",2022-05,,6.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
422,Lebanon,2024,"Seats held by women in national parliament, as of February (%)",2022-05,,6.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
426,Lesotho,2000,"Seats held by women in national parliament, as of February (%)",2022-10,,3.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
426,Lesotho,2005,"Seats held by women in national parliament, as of February (%)",2022-10,,11.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
426,Lesotho,2010,"Seats held by women in national parliament, as of February (%)",2022-10,,24.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
426,Lesotho,2015,"Seats held by women in national parliament, as of February (%)",2022-10,,26.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
426,Lesotho,2020,"Seats held by women in national parliament, as of February (%)",2022-10,,23.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
426,Lesotho,2021,"Seats held by women in national parliament, as of February (%)",2022-10,,23.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
426,Lesotho,2022,"Seats held by women in national parliament, as of February (%)",2022-10,,24.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
426,Lesotho,2023,"Seats held by women in national parliament, as of February (%)",2022-10,,26.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
426,Lesotho,2024,"Seats held by women in national parliament, as of February (%)",2022-10,,25.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
430,Liberia,2000,"Seats held by women in national parliament, as of February (%)",2023-10,,7.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
430,Liberia,2005,"Seats held by women in national parliament, as of February (%)",2023-10,,5.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
430,Liberia,2010,"Seats held by women in national parliament, as of February (%)",2023-10,,12.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
430,Liberia,2015,"Seats held by women in national parliament, as of February (%)",2023-10,,11.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
